job_title,salary_usd,experience_level,company_size,education_required,years_experience,industry
AI Specialist,66150,SE,S,Master,5,Finance
Principal Data Scientist,178470,EX,L,PhD,18,Energy
Deep Learning Engineer,62936,MI,M,Bachelor,3,Technology
Machine Learning Engineer,159003,EX,S,PhD,11,Real Estate
Computer Vision Engineer,98694,EX,M,Master,15,Education
Data Engineer,50471,EN,S,Bachelor,1,Energy
AI Software Engineer,104460,MI,M,Bachelor,3,Transportation
Research Scientist,63711,EN,M,Master,0,Healthcare
Data Analyst,64384,EN,L,PhD,0,Consulting
AI Architect,223296,SE,L,Master,5,Healthcare
Autonomous Systems Engineer,73372,SE,M,PhD,9,Real Estate
Machine Learning Researcher,92458,MI,M,Associate,3,Manufacturing
AI Product Manager,80483,MI,L,Bachelor,2,Government
Machine Learning Researcher,71730,MI,L,PhD,2,Technology
Machine Learning Researcher,186565,EX,S,Master,19,Retail
Robotics Engineer,114225,SE,L,Master,9,Consulting
AI Software Engineer,160286,EX,S,PhD,19,Retail
Head of AI,60957,MI,L,PhD,4,Real Estate
Autonomous Systems Engineer,90148,MI,M,PhD,4,Real Estate
Data Analyst,105723,SE,M,Bachelor,5,Education
Data Scientist,388754,EX,L,Master,16,Transportation
AI Consultant,45129,EN,M,Master,1,Technology
Data Engineer,68001,MI,M,Master,2,Technology
Robotics Engineer,51736,EN,M,Master,0,Government
Data Scientist,112035,SE,L,Associate,8,Consulting
Data Engineer,55619,EN,S,PhD,1,Gaming
AI Research Scientist,56796,EN,M,Associate,1,Gaming
Robotics Engineer,61808,EN,L,Master,0,Healthcare
AI Consultant,78751,MI,M,Master,3,Gaming
AI Architect,238449,EX,M,Associate,15,Gaming
AI Research Scientist,81908,EN,L,Associate,0,Consulting
Machine Learning Engineer,79556,SE,M,Master,7,Consulting
NLP Engineer,70609,EN,M,Bachelor,1,Healthcare
Principal Data Scientist,100354,MI,S,Master,2,Government
NLP Engineer,62606,MI,S,Master,3,Technology
NLP Engineer,44279,EN,S,PhD,1,Technology
Research Scientist,36995,EN,S,Bachelor,0,Technology
Principal Data Scientist,193149,EX,L,Associate,15,Consulting
Data Scientist,88722,MI,S,PhD,3,Government
Data Scientist,145098,SE,L,Master,8,Gaming
AI Consultant,83381,MI,S,Master,3,Energy
Autonomous Systems Engineer,46591,EN,M,Master,1,Real Estate
Data Scientist,99604,EX,S,Master,11,Education
AI Research Scientist,262339,EX,L,Associate,12,Energy
Machine Learning Researcher,58899,EN,S,Master,1,Consulting
Research Scientist,109939,MI,M,PhD,4,Transportation
NLP Engineer,32587,EN,S,Bachelor,0,Real Estate
Robotics Engineer,102069,MI,M,Associate,2,Healthcare
AI Specialist,153376,EX,S,Master,12,Education
Autonomous Systems Engineer,92574,EN,M,PhD,1,Education
ML Ops Engineer,92858,SE,S,Associate,6,Manufacturing
Data Scientist,84172,EN,L,Bachelor,1,Manufacturing
AI Consultant,66601,SE,S,Master,5,Technology
Data Scientist,99818,SE,L,Master,6,Telecommunications
Deep Learning Engineer,96240,SE,L,Bachelor,8,Technology
AI Software Engineer,72389,MI,M,Bachelor,2,Gaming
Head of AI,118570,SE,L,Associate,8,Healthcare
NLP Engineer,56276,MI,M,PhD,3,Telecommunications
AI Architect,93369,EX,S,Bachelor,13,Manufacturing
Data Analyst,115634,SE,L,Master,9,Retail
Machine Learning Engineer,215782,EX,M,PhD,13,Gaming
AI Specialist,110858,MI,L,Master,4,Energy
Autonomous Systems Engineer,77926,EN,M,PhD,1,Transportation
AI Product Manager,115976,EX,S,Master,12,Energy
Principal Data Scientist,71134,EN,L,Master,1,Manufacturing
Computer Vision Engineer,63231,EN,L,Bachelor,1,Real Estate
AI Consultant,96419,MI,S,PhD,3,Manufacturing
Data Analyst,221235,EX,M,Associate,13,Media
AI Specialist,213785,EX,M,Master,13,Energy
AI Software Engineer,59378,EN,L,PhD,0,Real Estate
AI Architect,61374,EN,S,Associate,1,Consulting
Machine Learning Researcher,77579,EN,L,PhD,0,Retail
AI Research Scientist,61122,EN,L,Associate,0,Manufacturing
Machine Learning Engineer,53318,MI,S,Bachelor,3,Healthcare
Data Engineer,182747,EX,S,Bachelor,15,Gaming
Head of AI,138496,SE,M,Associate,5,Telecommunications
Machine Learning Engineer,79744,SE,S,Associate,8,Media
AI Consultant,133437,EX,S,Associate,13,Automotive
AI Architect,90174,EN,S,Bachelor,1,Technology
Data Scientist,87820,SE,S,Associate,7,Transportation
Robotics Engineer,66990,MI,S,PhD,3,Education
Machine Learning Engineer,122069,SE,S,PhD,6,Consulting
Computer Vision Engineer,56318,EN,M,Bachelor,1,Gaming
AI Product Manager,45830,EN,S,Bachelor,1,Real Estate
NLP Engineer,70207,EN,S,PhD,1,Healthcare
AI Software Engineer,84101,EN,L,Associate,0,Telecommunications
AI Product Manager,57591,EN,M,PhD,1,Gaming
ML Ops Engineer,45158,EN,M,PhD,1,Education
Head of AI,132585,EX,S,Master,12,Government
ML Ops Engineer,99055,MI,M,PhD,2,Finance
Head of AI,212847,SE,M,Bachelor,9,Real Estate
AI Architect,135102,EX,S,Master,17,Finance
ML Ops Engineer,63685,EN,S,Associate,0,Technology
AI Consultant,122593,SE,L,Master,7,Telecommunications
AI Product Manager,107056,MI,M,PhD,4,Finance
Research Scientist,53318,EN,M,PhD,0,Consulting
Data Scientist,90704,EN,L,Bachelor,1,Healthcare
Principal Data Scientist,125671,SE,S,PhD,7,Healthcare
Research Scientist,62031,MI,S,PhD,4,Healthcare
Data Engineer,171375,EX,L,Master,17,Automotive
AI Software Engineer,69220,MI,S,Associate,2,Healthcare
Research Scientist,80383,EN,S,Associate,0,Education
Head of AI,175527,SE,S,PhD,6,Media
Autonomous Systems Engineer,141125,EX,S,Bachelor,14,Education
Research Scientist,305621,EX,M,Bachelor,19,Energy
Robotics Engineer,187599,EX,M,PhD,11,Finance
AI Consultant,33959,EN,S,Bachelor,1,Gaming
AI Product Manager,229855,EX,L,PhD,16,Energy
Principal Data Scientist,85361,MI,L,PhD,2,Technology
Computer Vision Engineer,80376,SE,M,Associate,5,Automotive
Principal Data Scientist,45147,EN,M,Associate,0,Gaming
Computer Vision Engineer,46236,MI,S,PhD,4,Retail
Data Engineer,72594,MI,M,Associate,3,Manufacturing
Head of AI,119767,SE,L,Bachelor,5,Energy
Machine Learning Researcher,141385,EX,S,Master,15,Energy
Autonomous Systems Engineer,231393,EX,L,Bachelor,12,Manufacturing
AI Software Engineer,58405,EN,L,PhD,1,Media
Robotics Engineer,60440,EN,L,Associate,1,Real Estate
Head of AI,195647,SE,L,Associate,9,Energy
Data Analyst,298418,EX,L,Master,12,Media
Research Scientist,182777,SE,M,PhD,6,Consulting
AI Research Scientist,87006,MI,M,Master,3,Telecommunications
Machine Learning Engineer,69827,EN,L,Master,1,Finance
NLP Engineer,206945,EX,S,Bachelor,12,Energy
Autonomous Systems Engineer,99795,EN,M,Bachelor,1,Telecommunications
AI Software Engineer,114667,MI,S,Bachelor,4,Consulting
Robotics Engineer,128576,MI,L,Associate,4,Automotive
ML Ops Engineer,60097,EN,S,Master,1,Telecommunications
Autonomous Systems Engineer,101978,MI,S,Master,3,Media
AI Research Scientist,353726,EX,M,PhD,13,Manufacturing
AI Architect,95186,EX,S,Master,18,Retail
AI Specialist,133855,SE,S,PhD,8,Gaming
Head of AI,162221,SE,L,PhD,9,Energy
ML Ops Engineer,124709,EX,S,Bachelor,19,Energy
Data Scientist,58778,EN,M,Associate,0,Automotive
AI Consultant,59227,MI,S,Bachelor,3,Consulting
NLP Engineer,191741,EX,L,PhD,11,Transportation
Computer Vision Engineer,125762,EX,M,Bachelor,14,Manufacturing
AI Software Engineer,100678,MI,S,PhD,4,Automotive
Machine Learning Engineer,117568,SE,L,Master,9,Telecommunications
Autonomous Systems Engineer,134632,EX,S,PhD,17,Gaming
Robotics Engineer,106560,MI,S,Associate,2,Telecommunications
AI Software Engineer,94044,EN,L,PhD,1,Healthcare
AI Research Scientist,79076,SE,M,Associate,6,Government
AI Software Engineer,198743,EX,M,Master,19,Manufacturing
Deep Learning Engineer,97175,SE,M,Master,8,Telecommunications
AI Architect,64832,MI,S,Associate,2,Consulting
Data Engineer,143835,SE,S,Associate,5,Education
Data Scientist,181246,SE,M,PhD,9,Manufacturing
Principal Data Scientist,46950,MI,S,Bachelor,2,Government
AI Consultant,84808,SE,S,PhD,7,Consulting
AI Architect,153304,SE,L,PhD,7,Real Estate
Data Analyst,187668,EX,M,Master,14,Manufacturing
AI Specialist,72769,MI,M,Associate,4,Transportation
Research Scientist,222757,EX,S,Master,10,Real Estate
Data Engineer,160302,EX,S,PhD,11,Retail
NLP Engineer,78913,MI,L,Bachelor,2,Energy
Research Scientist,226519,EX,M,Master,18,Telecommunications
Research Scientist,175559,SE,M,Bachelor,8,Telecommunications
Computer Vision Engineer,141569,SE,M,Associate,6,Government
NLP Engineer,164894,SE,L,Associate,7,Finance
Data Analyst,88878,MI,L,Master,4,Real Estate
ML Ops Engineer,101624,SE,S,Master,6,Consulting
Head of AI,84728,MI,S,Master,3,Healthcare
Research Scientist,97260,EX,M,Associate,17,Manufacturing
Machine Learning Researcher,69936,MI,S,Bachelor,4,Energy
Data Engineer,75400,MI,L,Associate,3,Transportation
ML Ops Engineer,107195,EN,L,PhD,0,Retail
Data Scientist,75537,SE,M,Bachelor,8,Real Estate
AI Research Scientist,109409,MI,L,Associate,2,Education
AI Consultant,49641,EN,L,Master,0,Media
Machine Learning Researcher,60830,EN,S,Bachelor,0,Manufacturing
Machine Learning Engineer,48516,EN,L,PhD,1,Automotive
Computer Vision Engineer,98740,SE,S,Associate,9,Automotive
Data Scientist,109279,EX,M,Associate,12,Healthcare
Deep Learning Engineer,103692,MI,M,Master,2,Energy
Machine Learning Researcher,110492,MI,L,PhD,3,Gaming
Data Scientist,226973,EX,L,Master,10,Telecommunications
Autonomous Systems Engineer,171987,SE,M,Associate,6,Education
AI Consultant,173054,SE,L,PhD,6,Finance
Autonomous Systems Engineer,73669,MI,L,Master,2,Finance
AI Architect,98984,MI,M,Bachelor,2,Gaming
Data Scientist,101933,MI,L,Associate,2,Education
AI Product Manager,107603,SE,M,Associate,6,Technology
Robotics Engineer,116150,SE,S,Bachelor,7,Government
AI Product Manager,170702,EX,S,Bachelor,13,Retail
Data Scientist,149281,EX,S,PhD,14,Government
Data Scientist,43707,EN,L,Master,1,Manufacturing
AI Software Engineer,85131,MI,M,Associate,4,Healthcare
AI Specialist,85625,SE,S,Associate,9,Telecommunications
Computer Vision Engineer,127955,SE,S,Bachelor,6,Automotive
NLP Engineer,53707,EN,M,Master,0,Healthcare
Deep Learning Engineer,152266,EX,M,Associate,12,Energy
Principal Data Scientist,104315,MI,M,PhD,3,Technology
AI Product Manager,49234,MI,S,Master,2,Finance
Principal Data Scientist,104397,SE,S,PhD,8,Government
Data Analyst,117198,SE,M,Bachelor,8,Gaming
Machine Learning Engineer,63395,EN,S,Associate,0,Transportation
AI Specialist,77545,EN,M,Master,0,Retail
AI Software Engineer,161796,SE,L,Associate,9,Finance
Data Analyst,217701,EX,S,Bachelor,10,Healthcare
Deep Learning Engineer,128702,SE,S,PhD,8,Healthcare
Machine Learning Engineer,63866,EN,L,Bachelor,0,Media
Data Scientist,171813,SE,S,Master,8,Energy
Research Scientist,138694,EX,S,Bachelor,19,Education
Autonomous Systems Engineer,130454,MI,L,Master,2,Education
Head of AI,145190,SE,L,PhD,5,Technology
